strategy,up,score,nikkei,tp,sl,hold,dev_signals,dev_losses,dev_holds,dev_avg_return,dev_pf,dev_dd,dev_annual_signals,dev_positive_months,dev_months,dev_monthly_positive_ratio,dev_monthly_plus5_ratio,dev_avg_month_return,dev_avg_month_profit_jpy,dev_worst_month_return,dev_oos_cumulative_return,dev_compound_return,dev_compound_final_capital,dev_expected_value,dev_avg_win,dev_avg_loss,dev_objective,validation_signals,validation_losses,validation_holds,validation_avg_return,validation_pf,validation_dd,validation_annual_signals,validation_positive_months,validation_months,validation_monthly_positive_ratio,validation_monthly_plus5_ratio,validation_avg_month_return,validation_avg_month_profit_jpy,validation_worst_month_return,validation_oos_cumulative_return,validation_compound_return,validation_compound_final_capital,validation_expected_value,validation_avg_win,validation_avg_loss,validation_avg_lower,validation_pass,oos_signals,oos_losses,oos_holds,oos_avg_return,oos_pf,oos_dd,oos_annual_signals,oos_positive_months,oos_months,oos_monthly_positive_ratio,oos_monthly_plus5_ratio,oos_avg_month_return,oos_avg_month_profit_jpy,oos_worst_month_return,oos_oos_cumulative_return,oos_compound_return,oos_compound_final_capital,oos_expected_value,oos_avg_win,oos_avg_loss,oos_pf_ratio,oos_insufficient_data,oos_pass,profit_objective,sizing,prob_10y,prob_15y,prob_20y,bankruptcy_prob,p90_max_dd,final_status,up_threshold,score_threshold,nikkei_filter,tp_multiplier,sl_multiplier,hold_days,oos_validation_pf_ratio,fold,oos_end
UP45_SCORE60_NIKKEION_TP4.0_SL1.75_H3,45,60,True,4.0,1.75,3,477,5,47,8.856202232846654,991.5031005333076,0.0,133.19896788990826,14,14,100.0,100.0,72.93353885898723,729335.3885898723,6.2452719599457085,10356.722779870612,10356.722779870612,104567227.79870611,8.856202232846654,8.959053764772278,-0.8529823809321435,162.0,65,2,29,6.157822914492257,33.026181386205785,-5.613179878666608,59.05783582089552,6,7,85.71428571428571,85.71428571428571,9.591482918426326,95914.82918426326,-5.613179878666608,85.78907380646588,85.78907380646588,1857890.7380646588,6.157822914492257,6.551687966510022,-6.24892622406733,5.296832062067937,True,177,46,108,2.42333811983381,4.854154875553573,-3.777020181048085,354.0,3,4,75.0,50.0,11.48830399399458,114883.0399399458,-2.2176248954093314,50.604557104653416,50.604557104653416,1506045.5710465342,2.42333811983381,4.123827125543038,-2.419358831207688,0.1469789927811949,False,True,31.318281255124752,0.01,100.0,100.0,100.0,0.0,0.0,PASS,45,60,True,4.0,1.75,3,0.1469789927811949,4,2026-09-08
UP45_SCORE70_NIKKEION_TP4.0_SL2.0_H3,45,70,True,4.0,2.0,3,331,3,32,9.11129749707212,1323.4138283165053,0.0,97.49818548387096,11,11,100.0,100.0,94.17319035585666,941731.9035585666,6.156245616126688,7637.862762523426,7637.862762523426,77378627.62523426,9.11129749707212,9.20158545135899,-0.7601855049590581,162.0,33,1,16,6.190752661632526,30.673864046908232,0.0,40.99744897959184,4,4,100.0,100.0,9.81739204622694,98173.9204622694,6.282614423759347,45.18806981813388,45.18806981813388,1451880.6981813388,6.190752661632526,6.59935970010442,-6.884672569468053,5.541945763134833,True,146,34,90,2.6746563512601558,4.746434180319607,-4.302308778340668,292.0,3,4,75.0,50.0,11.07926921190853,110792.6921190853,-1.556380168736371,48.80025919192279,48.80025919192279,1488002.591919228,2.6746563512601558,4.417252032246048,-3.065658833163963,0.1547387108797603,False,True,31.06801278820513,0.01,100.0,100.0,100.0,0.0,0.0,PASS,45,70,True,4.0,2.0,3,0.1547387108797603,4,2026-09-08
UP45_SCORE70_NIKKEION_TP3.5_SL2.0_H3,45,70,True,3.5,2.0,3,331,3,22,8.101377492827243,1176.834026753001,0.0,97.49818548387096,11,11,100.0,100.0,74.3215496176436,743215.496176436,5.436312107233654,4753.149369327186,4753.149369327186,48531493.69327186,8.101377492827243,8.182428373904559,-0.7601855049590581,162.0,33,1,9,6.034618211198035,29.92547161250429,0.0,40.99744897959184,4,4,100.0,100.0,9.875743778428731,98757.43778428732,5.501462959074366,45.41916504330068,45.41916504330068,1454191.6504330067,6.034618211198035,6.43834604809385,-6.884672569468053,5.505477265719111,True,146,33,82,2.643312611624163,4.881501388553134,-4.302308778340668,292.0,3,4,75.0,50.0,10.915055204135836,109150.55204135836,-1.556380168736371,48.204914084592446,48.204914084592446,1482049.1408459244,2.643312611624163,4.295132952964116,-3.012920678418707,0.1631219534903974,False,True,30.870170222468484,0.01,100.0,100.0,100.0,0.0,0.0,PASS,45,70,True,3.5,2.0,3,0.1631219534903974,4,2026-09-08
UP45_SCORE60_NIKKEION_TP4.0_SL2.0_H3,45,60,True,4.0,2.0,3,477,5,47,8.856202232846654,991.5031005333076,0.0,133.19896788990826,14,14,100.0,100.0,72.93353885898723,729335.3885898723,6.2452719599457085,10356.722779870612,10356.722779870612,104567227.79870611,8.856202232846654,8.959053764772278,-0.8529823809321435,162.0,65,2,29,6.145706035638045,31.06830066996892,-6.400777004190406,59.05783582089552,6,7,85.71428571428571,85.71428571428571,9.4789690433515,94789.690433515,-6.400777004190406,84.23878383700192,84.23878383700192,1842387.838370019,6.145706035638045,6.551687966510022,-6.642724786829229,5.281399564545436,True,177,45,109,2.397170798514161,4.656972011515611,-4.30230877834068,354.0,3,4,75.0,50.0,11.137057449136847,111370.57449136848,-1.9585736356559469,49.000831110115904,49.000831110115904,1490008.311101159,2.397170798514161,4.093363428570153,-2.5783275829834125,0.1498946485997256,False,True,30.68795215072152,0.01,100.0,100.0,100.0,0.0,0.0,PASS,45,60,True,4.0,2.0,3,0.1498946485997256,4,2026-09-08
UP45_SCORE70_NIKKEION_TP4.0_SL1.0_H5,45,70,True,4.0,1.0,5,331,3,25,9.159977670784372,483.4185249102172,0.0,97.49818548387096,11,11,100.0,100.0,95.8552645842066,958552.645842066,6.485568523221041,7974.679529752815,7974.679529752815,80746795.29752815,9.159977670784372,9.262919237512245,-2.0949669581296333,162.0,33,1,15,6.085661186414043,45.15963573655934,0.0,40.99744897959184,4,4,100.0,100.0,10.103300668725062,101033.00668725064,6.214490708086884,46.64897572608808,46.64897572608808,1466489.757260881,6.085661186414043,6.417955169742717,-4.547746280103503,4.708699306921036,True,146,57,50,2.865211964141843,4.53188508412723,-6.16433143019175,292.0,3,4,75.0,50.0,10.356777402394323,103567.77402394325,-4.604550702118404,45.14090769605683,45.14090769605683,1451409.0769605683,2.865211964141843,6.031036117676308,-2.077916977341796,0.1003525606487212,False,True,30.09130792748404,0.01,100.0,100.0,100.0,0.0,0.0,PASS,45,70,True,4.0,1.0,5,0.1003525606487212,4,2026-09-08
UP45_SCORE70_NIKKEION_TP4.0_SL1.0_H3,45,70,True,4.0,1.0,3,331,5,30,9.081387922628622,360.3959922579882,0.0,97.49818548387096,11,11,100.0,100.0,94.025060273513,940250.60273513,6.156245616126688,7567.133871514786,7567.133871514786,76671338.71514785,9.081387922628622,9.246329039721912,-1.6727729118538943,162.0,33,1,16,6.261568609795089,46.436080070530046,0.0,40.99744897959184,4,4,100.0,100.0,10.02989742337823,100298.97423378233,6.282614423759347,46.28403692993424,46.28403692993424,1462840.3692993424,6.261568609795089,6.59935970010442,-4.547746280103503,5.541945763134833,True,146,44,81,2.59552482861919,5.026437259968499,-4.604550702118393,292.0,3,4,75.0,50.0,10.680921208085948,106809.21208085948,-4.604550702118404,45.41293426409285,45.41293426409285,1454129.3426409285,2.59552482861919,4.637855372881012,-2.138968705805949,0.108244219846594,False,True,30.071913691303205,0.01,100.0,100.0,100.0,0.0,0.0,PASS,45,70,True,4.0,1.0,3,0.108244219846594,4,2026-09-08
UP45_SCORE60_NIKKEION_TP4.0_SL1.5_H3,45,60,True,4.0,1.5,3,477,5,47,8.856202232846654,991.5031005333076,0.0,133.19896788990826,14,14,100.0,100.0,72.93353885898723,729335.3885898723,6.2452719599457085,10356.722779870612,10356.722779870612,104567227.79870611,8.856202232846654,8.959053764772278,-0.8529823809321435,162.0,65,2,29,6.171679072566667,35.59102753597592,-4.825582753142809,59.05783582089552,6,7,85.71428571428571,85.71428571428571,9.706171022076036,97061.71022076036,-4.825582753142809,87.36450204417989,87.36450204417989,1873645.0204417987,6.171679072566667,6.551687966510022,-5.798601086649035,5.316530537168704,True,177,50,104,2.328608067292985,4.338717145637453,-4.968500640708406,354.0,3,4,75.0,50.0,10.933210688308332,109332.10688308332,-4.968500640708395,46.86286815421361,46.86286815421361,1468628.681542136,2.328608067292985,4.217427773866088,-2.468993987402697,0.121904801463004,False,True,29.85808832773724,0.01,100.0,100.0,100.0,0.0,0.0,PASS,45,60,True,4.0,1.5,3,0.121904801463004,4,2026-09-08
UP45_SCORE70_NIKKEION_TP3.5_SL1.0_H3,45,70,True,3.5,1.0,3,331,5,20,8.071467918383748,320.42840083703743,0.0,97.49818548387096,11,11,100.0,100.0,74.18115547508441,741811.5547508441,5.436312107233654,4708.471600379862,4708.471600379862,48084716.00379862,8.071467918383748,8.220919464859785,-1.6727729118538943,162.0,33,1,9,6.105434159360597,45.30311518045246,0.0,40.99744897959184,4,4,100.0,100.0,10.09001769393159,100900.1769393159,5.501462959074366,46.51872830115931,46.51872830115931,1465187.2830115932,6.105434159360597,6.43834604809385,-4.547746280103503,5.505477265719111,True,146,43,74,2.5505663609443063,5.1340371892019325,-4.604550702118393,292.0,3,4,75.0,50.0,10.437131762170132,104371.31762170132,-4.604550702118404,44.54422892343148,44.54422892343148,1445442.2892343148,2.5505663609443063,4.489902287621787,-2.0948196959808234,0.1133263610847049,False,True,29.7518227960825,0.01,100.0,100.0,100.0,0.0,0.0,PASS,45,70,True,3.5,1.0,3,0.1133263610847049,4,2026-09-08
UP45_SCORE70_NIKKEION_TP4.0_SL1.75_H3,45,70,True,4.0,1.75,3,331,3,32,9.11129749707212,1323.4138283165053,0.0,97.49818548387096,11,11,100.0,100.0,94.17319035585666,941731.9035585666,6.156245616126688,7637.862762523426,7637.862762523426,77378627.62523426,9.11129749707212,9.20158545135899,-0.7601855049590581,162.0,33,1,16,6.190752661632526,30.673864046908232,0.0,40.99744897959184,4,4,100.0,100.0,9.81739204622694,98173.9204622694,6.282614423759347,45.18806981813388,45.18806981813388,1451880.6981813388,6.190752661632526,6.59935970010442,-6.884672569468053,5.541945763134833,True,146,35,89,2.703347557838653,4.949222805692224,-6.042327079612464,292.0,3,4,75.0,50.0,10.378269627339035,103782.69627339038,-6.042327079612453,43.95575690395948,43.95575690395948,1439557.5690395948,2.703347557838653,4.456122598976894,-2.855453286914055,0.161349831834802,False,True,29.708399620553465,0.01,100.0,100.0,100.0,0.0,0.0,PASS,45,70,True,4.0,1.75,3,0.161349831834802,4,2026-09-08
UP45_SCORE60_NIKKEION_TP4.0_SL1.25_H3,45,60,True,4.0,1.25,3,477,6,46,8.84279256723959,496.1939873624855,0.0,133.19896788990826,14,14,100.0,100.0,72.87824732599756,728782.4732599757,6.2452719599457085,10294.528977604034,10294.528977604034,103945289.77604036,8.84279256723959,8.973524316213995,-1.4196497272511206,162.0,65,2,29,6.200902667882816,42.56243063342639,-4.037985627619001,59.05783582089552,6,7,85.71428571428571,85.71428571428571,9.840069566916371,98400.6956691637,-4.037985627619001,89.16429404535168,89.16429404535168,1891642.9404535168,6.200902667882816,6.551687966510022,-4.848834238874193,5.373921144704209,True,177,53,102,2.262396166502572,4.355659570850288,-4.461203597757757,354.0,3,4,75.0,50.0,10.82352325115812,108235.2325115812,-4.461203597757757,46.47135158538052,46.47135158538052,1464713.5158538052,2.262396166502572,4.191758664990071,-2.251584018637993,0.1023357807819737,False,True,29.649133863311288,0.01,100.0,100.0,100.0,0.0,0.0,PASS,45,60,True,4.0,1.25,3,0.1023357807819737,4,2026-09-08
