strategy,up,score,nikkei,tp,sl,hold,dev_signals,dev_wins,dev_losses,dev_holds,dev_win_rate,dev_avg_return,dev_pf,dev_dd,dev_annual_signals,dev_positive_months,dev_months,dev_monthly_positive_ratio,dev_avg_month_return,dev_worst_month_return,dev_oos_cumulative_return,dev_compound_return,dev_compound_final_capital,dev_expected_value,dev_avg_win,dev_avg_loss,dev_objective,validation_signals,validation_wins,validation_losses,validation_holds,validation_win_rate,validation_avg_return,validation_pf,validation_dd,validation_annual_signals,validation_positive_months,validation_months,validation_monthly_positive_ratio,validation_avg_month_return,validation_worst_month_return,validation_oos_cumulative_return,validation_compound_return,validation_compound_final_capital,validation_expected_value,validation_avg_win,validation_avg_loss,validation_avg_lower,validation_pass,oos_signals,oos_wins,oos_losses,oos_holds,oos_win_rate,oos_avg_return,oos_pf,oos_dd,oos_annual_signals,oos_positive_months,oos_months,oos_monthly_positive_ratio,oos_avg_month_return,oos_worst_month_return,oos_oos_cumulative_return,oos_compound_return,oos_compound_final_capital,oos_expected_value,oos_avg_win,oos_avg_loss,oos_pf_ratio,oos_pass
UP45_SCORE50_NIKKEIOFF_TP4.0_SL1.75_H7,45,50,False,4.0,1.75,7,133,119,1,13,99.16666666666667,7.323692077138812,248.06375840313376,0.0,100.16134020618557,6,6,100.0,29.29361538194404,6.367530397130694,324.73442846030866,324.73442846030866,4247344.284603086,7.323692077138812,7.409042083924672,-3.9425088185945256,136.18360711507717,53,41,5,7,89.13043478260869,7.273800000513425,23.59675591860466,-4.1813893231844705,67.21614583333333,5,5,100.0,12.526924489410876,2.1346131913015265,78.49787377191086,78.49787377191086,1784978.7377191086,7.273800000513425,8.386914072836705,-3.412095093790053,5.904604014560174,True,94,42,32,20,56.75675675675676,3.9894559577545565,3.3347051096862192,-17.004155327220026,188.0,3,3,100.0,23.024976119512576,10.521777560013001,83.58344783565215,83.58344783565215,1835834.4783565216,3.9894559577545565,8.639234057853729,-5.019489111187591,0.14132049003638672,False
UP45_SCORE50_NIKKEIOFF_TP4.0_SL1.5_H5,45,50,False,4.0,1.5,5,133,119,1,13,99.16666666666667,7.322617187443327,287.9855363778256,0.0,100.16134020618557,6,6,100.0,29.290459379879845,6.367530397130694,324.6429550538387,324.6429550538387,4246429.550538387,7.322617187443327,7.403800491797949,-3.393578987366741,136.16073876345968,53,33,5,15,86.8421052631579,6.713648506941867,24.779975986146827,-3.598333705586676,67.21614583333333,5,5,100.0,12.051746198725152,2.4087312141665373,74.99332180801892,74.99332180801892,1749933.2180801893,6.713648506941867,7.7247192050654805,-2.992630195044823,5.018817521151831,True,94,35,33,26,51.470588235294116,3.7723790762464193,3.5310966812583384,-15.174570054098456,188.0,3,3,100.0,21.002018172251415,7.546113112405917,74.56132719098474,74.56132719098474,1745613.2719098474,3.7723790762464193,8.109876118323005,-4.245418486379992,0.14249798640775066,False
UP45_SCORE50_NIKKEIOFF_TP4.0_SL2.0_H7,45,50,False,4.0,2.0,7,133,119,1,13,99.16666666666667,7.319564785174694,217.74616806059413,0.0,100.16134020618557,6,6,100.0,29.283167684761892,6.367530397130694,324.5138255735434,324.5138255735434,4245138.255735434,7.319564785174694,7.409042083924672,-4.49143864982231,136.12845639338585,53,41,5,7,89.13043478260869,7.231474939506753,20.854644357606578,-4.764444940782231,67.21614583333333,5,5,100.0,12.314223387550843,1.8604951684365156,76.7509073602654,76.7509073602654,1767509.073602654,7.231474939506753,8.386914072836705,-3.8607407404607854,5.822041945587896,True,94,42,31,21,57.534246575342465,3.8402094332170678,3.040546918757615,-18.864464887109268,188.0,3,3,100.0,22.067122985365305,10.521777560013001,79.35601118268094,79.35601118268094,1793560.1118268094,3.8402094332170678,8.537826765084416,-5.70656127348109,0.14579711198232914,False
UP45_SCORE50_NIKKEIOFF_TP4.0_SL1.75_H5,45,50,False,4.0,1.75,5,133,119,1,13,99.16666666666667,7.318489895479209,247.88826351077887,0.0,100.16134020618557,6,6,100.0,29.27999990943736,6.367530397130694,324.421424334735,324.421424334735,4244214.24334735,7.318489895479209,7.403800491797949,-3.9425088185945256,136.10535608368374,53,33,5,15,86.8421052631579,6.671323445935194,21.549363602209656,-4.1813893231844705,67.21614583333333,5,5,100.0,11.841090258428544,2.1346131913015265,73.2852861478315,73.2852861478315,1732852.861478315,6.671323445935194,7.7247192050654805,-3.4412758417155564,4.923896730629167,True,94,35,33,26,51.470588235294116,3.5331334051856245,3.0426768147774252,-17.794034498623702,188.0,3,3,100.0,19.715876936560786,7.546113112405917,69.06359819123638,69.06359819123638,1690635.9819123638,3.5331334051856245,8.109876118323005,-4.926906155462257,0.14119566920600066,False
UP45_SCORE50_NIKKEIOFF_TP4.0_SL2.0_H5,45,50,False,4.0,2.0,5,133,119,1,13,99.16666666666667,7.31436260351509,217.59212161475102,0.0,100.16134020618557,6,6,100.0,29.26954043899487,6.367530397130694,324.19989361563114,324.19989361563114,4241998.936156311,7.31436260351509,7.403800491797949,-4.49143864982231,136.04997340390779,53,33,5,15,86.8421052631579,6.628998384928522,19.063959154453865,-4.764444940782231,67.21614583333333,5,5,100.0,11.630715922241425,1.8604951684365156,71.5861386672072,71.5861386672072,1715861.386672072,6.628998384928522,7.7247192050654805,-3.88992148838629,4.828975940106501,True,94,35,32,27,52.23880597014925,3.393788989598139,2.78353191954622,-19.56311141587547,188.0,3,3,100.0,18.819784109348703,7.546113112405917,65.3204846604917,65.3204846604917,1653204.846604917,3.393788989598139,8.030384130199847,-5.58961409531767,0.14601017013278222,False
UP45_SCORE50_NIKKEIOFF_TP3.5_SL1.0_H7,45,50,False,3.5,1.0,7,133,127,1,5,99.21875,6.603249897523146,383.5520946052776,0.0,100.16134020618557,6,6,100.0,25.647768838419008,5.559089097489367,264.9117675367576,264.9117675367576,3649117.675367576,6.603249897523146,6.670666331026435,-2.2957193249111607,121.2279418841894,53,42,5,6,89.36170212765957,6.602042197630892,34.87042137453511,-2.4322224703911433,67.21614583333333,5,5,100.0,11.723766614452888,2.4377873409769713,72.6600366328444,72.6600366328444,1726600.3663284439,6.602042197630892,7.504979734235969,-2.0661581537778546,5.658902882922407,True,94,46,35,13,56.79012345679012,3.9553739510254657,4.66894449679495,-10.481874319530505,188.0,3,3,100.0,23.11129302823805,10.521777560013001,84.64896459969322,84.64896459969322,1846489.645996932,3.9553739510254657,8.019383088166903,-2.895384308727239,0.13389412323547512,False
UP45_SCORE50_NIKKEIOFF_TP3.5_SL1.25_H7,45,50,False,3.5,1.25,7,133,127,1,5,99.21875,6.599122605559028,309.538332273859,0.0,100.16134020618557,6,6,100.0,25.63745186736381,5.559089097489367,264.721315785303,264.721315785303,3647213.1578530297,6.599122605559028,6.670666331026435,-2.8446491561389453,121.18032894632574,53,42,5,6,89.36170212765957,6.5597171366242195,28.649473742569324,-3.015278087988915,67.21614583333333,5,5,100.0,11.511097559938062,2.1636693181119826,70.98972880553613,70.98972880553613,1709897.2880553612,6.5597171366242195,7.504979734235969,-2.5148038004485858,5.584704885752049,True,94,47,33,14,58.75,3.9079913489398566,4.081329393459368,-13.32048567267451,188.0,3,3,100.0,22.511731155026,10.521777560013001,81.82264384179057,81.82264384179057,1818226.4384179057,3.9079913489398566,7.9765507450113065,-3.6126790498588846,0.1424573948594055,False
UP45_SCORE50_NIKKEIOFF_TP3.5_SL1.0_H5,45,50,False,3.5,1.0,5,133,126,1,6,99.21259842519686,6.596334627212714,383.1514659477116,0.0,100.16134020618557,6,6,100.0,25.62469071046085,5.559089097489367,264.58082572666956,264.58082572666956,3645808.2572666956,6.596334627212714,6.6636986723045615,-2.2957193249111607,121.14520643166739,53,36,5,12,87.8048780487805,6.298831991416404,32.86483057930946,-2.4322224703911433,67.21614583333333,5,5,100.0,11.389355346519796,2.4377873409769713,70.09957070761088,70.09957070761088,1700995.7070761088,6.298831991416404,7.173224792783046,-2.0953389017033586,4.795184407450114,True,94,43,36,15,54.43037974683544,3.7571181705941354,4.418778985515392,-10.524898601018407,188.0,3,3,100.0,21.442993540850892,7.546113112405917,76.9819932086092,76.9819932086092,1769819.932086092,3.7571181705941354,7.870203627819892,-2.869519510491805,0.13445311926534922,False
UP45_SCORE50_NIKKEIOFF_TP3.5_SL1.5_H7,45,50,False,3.5,1.5,7,133,127,1,5,99.21875,6.594995313594909,259.4688259720567,0.0,100.16134020618557,6,6,100.0,25.62713489630862,5.559089097489367,264.5308640338483,264.5308640338483,3645308.640338483,6.594995313594909,6.670666331026435,-3.393578987366741,121.13271600846207,53,42,5,6,89.36170212765957,6.517392075617546,24.31214256706853,-3.598333705586676,67.21614583333333,5,5,100.0,11.298710043340234,1.8895512952469717,69.32805424772678,69.32805424772678,1693280.5424772676,6.517392075617546,7.504979734235969,-2.963449447119319,5.507305774826888,True,94,47,32,15,59.49367088607595,3.7730201688788005,3.5675247366165284,-14.554995005633176,188.0,3,3,100.0,21.88181261801651,10.521777560013001,79.12023859945343,79.12023859945343,1791202.3859945342,3.7730201688788005,7.948362166982184,-4.316704952446505,0.14673839324423998,False
UP45_SCORE50_NIKKEIOFF_TP3.5_SL1.25_H5,45,50,False,3.5,1.25,5,133,126,1,6,99.21259842519686,6.592207335248596,309.2150126302739,0.0,100.16134020618557,6,6,100.0,25.614373739405654,5.559089097489367,264.3900012496989,264.3900012496989,3643900.012496989,6.592207335248596,6.6636986723045615,-2.8446491561389453,121.09750031242473,53,36,5,12,87.8048780487805,6.256506930409731,27.068937212975175,-3.015278087988904,67.21614583333333,5,5,100.0,11.178626048289258,2.1636693181119826,68.45139788525887,68.45139788525887,1684513.9788525887,6.256506930409731,7.173224792783046,-2.5439845483740897,4.707146726333244,True,94,43,34,17,55.84415584415584,3.6675826565253122,3.8449018126384047,-13.362206286182875,188.0,3,3,100.0,20.693830222524884,7.546113112405917,73.65419074729903,73.65419074729903,1736541.9074729905,3.6675826565253122,7.76559049884957,-3.5641958887527885,0.14204110720665444,False
UP45_SCORE50_NIKKEIOFF_TP3.5_SL1.75_H7,45,50,False,3.5,1.75,7,133,127,1,5,99.21875,6.59086802163079,223.34203833420744,0.0,100.16134020618557,6,6,100.0,25.616817925253425,5.559089097489367,264.3404122823936,264.3404122823936,3643404.122823936,6.59086802163079,6.670666331026435,-3.9425088185945256,121.0851030705984,53,42,5,6,89.36170212765957,6.4750670146108735,21.11541544659494,-4.1813893231844705,67.21614583333333,5,5,100.0,11.08660406465941,1.6154332723819609,67.67499561201788,67.67499561201788,1676749.9561201788,6.4750670146108735,7.504979734235969,-3.412095093790053,5.429889512613235,True,94,47,32,15,59.49367088607595,3.5337744978180057,3.068031697529555,-17.19032695023567,188.0,3,3,100.0,20.592028177581565,10.521777560013001,73.48636902007905,73.48636902007905,1734863.6902007905,3.5337744978180057,7.948362166982184,-5.019489111187591,0.1452981924646102,False
UP45_SCORE50_NIKKEIOFF_TP3.5_SL1.5_H5,45,50,False,3.5,1.5,5,133,126,1,6,99.21259842519686,6.588080043284477,259.1978050367223,0.0,100.16134020618557,6,6,100.0,25.60405676835045,5.559089097489367,264.19917677272815,264.19917677272815,3641991.767727282,6.588080043284477,6.6636986723045615,-3.393578987366741,121.04979419318204,53,36,5,12,87.8048780487805,6.214181869403057,23.010847823676997,-3.598333705586676,67.21614583333333,5,5,100.0,10.96817835416819,1.8895512952469717,66.81177604016825,66.81177604016825,1668117.7604016827,6.214181869403057,7.173224792783046,-2.992630195044823,4.619109045216375,True,94,43,33,18,56.57894736842105,3.476637474252136,3.332667368565146,-15.36368905771105,188.0,3,3,100.0,19.712142466262872,7.546113112405917,69.53508002326868,69.53508002326868,1695350.8002326868,3.476637474252136,7.654143157872795,-4.245418486379992,0.1448302728392302,False
UP45_SCORE50_NIKKEIOFF_TP3.5_SL2.0_H7,45,50,False,3.5,2.0,7,133,127,1,5,99.21875,6.586740729666672,196.04586065765918,0.0,100.16134020618557,6,6,100.0,25.60650095419823,5.559089097489367,264.14996053093887,264.14996053093887,3641499.605309389,6.586740729666672,6.670666331026435,-4.49143864982231,121.03749013273472,53,42,5,6,89.36170212765957,6.4327419536042,18.661653369675967,-4.7644449407822425,67.21614583333333,5,5,100.0,10.874779623895598,1.34131524951695,66.03053555101089,66.03053555101089,1660305.3555101089,6.4327419536042,7.504979734235969,-3.8607407404607854,5.352182976190242,True,94,47,31,16,60.256410256410255,3.384527973280516,2.798414447813304,-19.04701332730474,188.0,3,3,100.0,19.658555301100247,10.521777560013001,69.48969541888358,69.48969541888358,1694896.9541888358,3.384527973280516,7.857921094702895,-5.70656127348109,0.14995533313037282,False
UP45_SCORE50_NIKKEIOFF_TP3.5_SL1.75_H5,45,50,False,3.5,1.75,5,133,126,1,6,99.21259842519686,6.583952751320358,223.10875262868169,0.0,100.16134020618557,6,6,100.0,25.593739797295257,5.559089097489367,264.0083522957575,264.0083522957575,3640083.522957575,6.583952751320358,6.6636986723045615,-3.9425088185945256,121.00208807393938,53,36,5,12,87.8048780487805,6.1718568083963845,20.010880027678176,-4.1813893231844705,67.21614583333333,5,5,100.0,10.758012264156598,1.6154332723819609,65.18068782718424,65.18068782718424,1651806.8782718424,6.1718568083963845,7.173224792783046,-3.4412758417155564,4.51606738052357,True,94,43,33,18,56.57894736842105,3.237391803191341,2.8716941644557004,-17.978447472928483,188.0,3,3,100.0,18.43670242725814,7.546113112405917,64.19337399162639,64.19337399162639,1641933.7399162638,3.237391803191341,7.654143157872795,-4.926906155462257,0.1435066404118009,False
UP45_SCORE50_NIKKEIOFF_TP3.5_SL2.0_H5,45,50,False,3.5,2.0,5,133,126,1,6,99.21259842519686,6.57982545935624,195.84108641426084,0.0,100.16134020618557,6,6,100.0,25.583422826240064,5.559089097489367,263.8175278187868,263.8175278187868,3638175.2781878677,6.57982545935624,6.6636986723045615,-4.49143864982231,120.9543819546967,53,36,5,12,87.8048780487805,6.129531747389712,17.70291719673875,-4.7644449407822425,67.21614583333333,5,5,100.0,10.548127778254486,1.34131524951695,63.55811590115221,63.55811590115221,1635581.159011522,6.129531747389712,7.173224792783046,-3.88992148838629,4.412790637323498,True,94,43,32,19,57.333333333333336,3.0980473876038555,2.628111359013081,-19.74403768735812,188.0,3,3,100.0,17.549753318658098,7.546113112405917,60.55711851391177,60.55711851391177,1605571.1851391178,3.0980473876038555,7.582001701369804,-5.58961409531767,0.14845640014049405,False
UP45_SCORE50_NIKKEIOFF_TP3.5_SL1.75_H3,45,50,False,3.5,1.75,3,133,125,1,7,99.20634920634922,6.578173008396166,766.0982648510305,0.0,100.16134020618557,6,6,100.0,25.564499493935514,5.559089097489367,263.7799022306681,263.7799022306681,3637799.0223066807,6.578173008396166,6.636670601927213,-1.14350933770192,120.94497555766702,53,33,1,19,97.05882352941177,6.2161518067753985,48.85355330043701,0.0,67.21614583333333,5,5,100.0,12.350072333547306,4.224191986115611,77.92059553064819,77.92059553064819,1779205.9553064818,6.2161518067753985,6.468090737087772,-6.884672569468053,5.1177546636474816,True,94,36,31,27,53.73134328358209,3.1477498256150107,3.018101890702247,-16.149484867474683,188.0,3,3,100.0,17.952818409097024,5.730889359587077,61.844000145995096,61.844000145995096,1618440.0014599508,3.1477498256150107,7.023900015708884,-4.729587657478988,0.061778554205498284,False
UP45_SCORE50_NIKKEIOFF_TP3.5_SL2.0_H3,45,50,False,3.5,2.0,3,133,125,1,7,99.20634920634922,6.578173008396166,766.0982648510305,0.0,100.16134020618557,6,6,100.0,25.564499493935514,5.559089097489367,263.7799022306681,263.7799022306681,3637799.0223066807,6.578173008396166,6.636670601927213,-1.14350933770192,120.94497555766702,53,33,1,19,97.05882352941177,6.2161518067753985,48.85355330043701,0.0,67.21614583333333,5,5,100.0,12.350072333547306,4.224191986115611,77.92059553064819,77.92059553064819,1779205.9553064818,6.2161518067753985,6.468090737087772,-6.884672569468053,5.1177546636474816,True,94,36,31,27,53.73134328358209,2.9697816659531266,2.7090047697274584,-18.219512901005398,188.0,3,3,100.0,16.95628839736788,5.730889359587077,57.747556756776476,57.747556756776476,1577475.5675677648,2.9697816659531266,7.023900015708884,-5.2692330448408295,0.05545154009715043,False
UP45_SCORE50_NIKKEIOFF_TP3.5_SL1.25_H3,45,50,False,3.5,1.25,3,133,125,1,7,99.20634920634922,6.578173008396166,766.0982648510305,0.0,100.16134020618557,6,6,100.0,25.564499493935514,5.559089097489367,263.7799022306681,263.7799022306681,3637799.0223066807,6.578173008396166,6.636670601927213,-1.14350933770192,120.94497555766702,53,33,1,19,97.05882352941177,6.2392648203478265,59.427485114448594,0.0,67.21614583333333,5,5,100.0,12.3770488582694,4.224191986115611,78.12813156303817,78.12813156303817,1781281.3156303817,6.2392648203478265,6.468090737087772,-5.659682850129387,5.210206717937192,True,94,36,31,27,53.73134328358209,3.5523646941243086,4.075260311760122,-11.466016893013364,188.0,3,3,100.0,20.16760671456758,5.730889359587077,71.10243105721052,71.10243105721052,1711024.3105721052,3.5523646941243086,7.023900015708884,-3.502690959418536,0.06857534529539269,False
