strategy,year,signals,avg_return,total_return,wins,losses,holds,win_rate
UP50_NIKKEIOFF_TESTA65,2021,32,2.128792270878277,68.12135266810486,5,10,17,33.33333333333333
UP50_NIKKEIOFF_TESTA65,2022,37,-1.36164047566152,-50.380697599476235,1,29,7,3.3333333333333335
UP50_NIKKEIOFF_TESTA65,2023,1,-0.22250419721699133,-0.22250419721699133,0,1,0,0.0
UP50_NIKKEIOFF_TESTA65,2024,43,-0.8297423265303226,-35.678920040803874,2,28,13,6.666666666666667
UP50_NIKKEIOFF_TESTA65,2025,13,-3.0934824225599797,-40.21527149327974,1,12,0,7.6923076923076925
UP50_NIKKEIOFF_TESTA65,2026,107,2.366349437867179,253.19938985178814,46,43,18,51.68539325842697
UP50_NIKKEIOFF_TESTA75,2019,21,0.6906714470026704,14.504100387056077,1,7,13,12.5
UP50_NIKKEIOFF_TESTA75,2020,1,-4.464170934698383,-4.464170934698383,0,1,0,0.0
UP50_NIKKEIOFF_TESTA75,2021,29,2.198172182742146,63.74699329952223,5,8,16,38.46153846153847
UP50_NIKKEIOFF_TESTA75,2022,27,-1.6275725920652047,-43.944459985760524,0,21,6,0.0
UP50_NIKKEIOFF_TESTA75,2024,30,-0.30132714836413693,-9.039814450924109,0,16,14,0.0
UP50_NIKKEIOFF_TESTA75,2025,10,-2.9306628345733468,-29.30662834573347,1,9,0,10.0
UP50_NIKKEIOFF_TESTA75,2026,107,2.366349437867179,253.19938985178814,46,43,18,51.68539325842697
UP50_NIKKEION_BASE,2019,21,-0.7194296332177195,-15.10802229757211,0,12,9,0.0
UP50_NIKKEION_BASE,2021,45,2.233172105479447,100.49274474657511,6,13,26,31.57894736842105
UP50_NIKKEION_BASE,2022,50,-1.4002147372836558,-70.01073686418279,1,39,10,2.5
UP50_NIKKEION_BASE,2023,10,1.0199588272265214,10.199588272265213,0,4,6,0.0
UP50_NIKKEION_BASE,2024,96,2.6920041273921957,258.4323962296508,17,41,38,29.310344827586203
UP50_NIKKEION_BASE,2026,107,2.366349437867179,253.19938985178814,46,43,18,51.68539325842697
UP50_NIKKEION_TESTA55,2019,13,-0.9179691616079452,-11.933599100903287,0,8,5,0.0
UP50_NIKKEION_TESTA55,2021,37,2.335898740437285,86.42825339617954,6,11,20,35.294117647058826
UP50_NIKKEION_TESTA55,2022,39,-1.2846921338525457,-50.10299322024928,1,30,8,3.225806451612903
UP50_NIKKEION_TESTA55,2023,1,-0.22250419721699133,-0.22250419721699133,0,1,0,0.0
UP50_NIKKEION_TESTA55,2024,53,-0.6671934531900002,-35.36125301907001,3,33,17,8.333333333333332
UP50_NIKKEION_TESTA55,2026,107,2.366349437867179,253.19938985178814,46,43,18,51.68539325842697
UP50_NIKKEION_TESTA65,2019,12,-0.8967775270086008,-10.76133032410321,0,7,5,0.0
UP50_NIKKEION_TESTA65,2021,32,2.128792270878277,68.12135266810486,5,10,17,33.33333333333333
UP50_NIKKEION_TESTA65,2022,32,-1.5586098435404625,-49.8755149932948,1,26,5,3.7037037037037033
UP50_NIKKEION_TESTA65,2023,1,-0.22250419721699133,-0.22250419721699133,0,1,0,0.0
UP50_NIKKEION_TESTA65,2024,43,-0.8297423265303226,-35.678920040803874,2,28,13,6.666666666666667
UP50_NIKKEION_TESTA65,2026,107,2.366349437867179,253.19938985178814,46,43,18,51.68539325842697
UP50_NIKKEION_TESTA75,2019,12,-1.0301406814962222,-12.361688177954665,0,7,5,0.0
UP50_NIKKEION_TESTA75,2021,29,2.198172182742146,63.74699329952223,5,8,16,38.46153846153847
UP50_NIKKEION_TESTA75,2022,23,-1.97794126128459,-45.492649009545566,0,19,4,0.0
UP50_NIKKEION_TESTA75,2024,30,-0.30132714836413693,-9.039814450924109,0,16,14,0.0
UP50_NIKKEION_TESTA75,2026,107,2.366349437867179,253.19938985178814,46,43,18,51.68539325842697
UP55_NIKKEIOFF_BASE,2019,20,3.4177393328967143,68.35478665793428,2,2,16,50.0
UP55_NIKKEIOFF_BASE,2020,100,-1.5847694871547617,-158.47694871547617,10,78,12,11.363636363636363
UP55_NIKKEIOFF_BASE,2022,29,-1.4159021523982636,-41.061162419549646,0,23,6,0.0
UP55_NIKKEIOFF_BASE,2023,13,4.74552817289669,61.691866247656975,4,0,9,100.0
UP55_NIKKEIOFF_BASE,2024,70,3.2822759295706674,229.75931506994672,18,26,26,40.909090909090914
UP55_NIKKEIOFF_BASE,2025,32,-0.46623544097904923,-14.919534111329575,4,21,7,16.0
UP55_NIKKEIOFF_BASE,2026,39,3.8043808291120924,148.3708523353716,24,8,7,75.0
UP55_NIKKEIOFF_TESTA55,2019,3,0.41099002760515074,1.2329700828154522,0,1,2,0.0
UP55_NIKKEIOFF_TESTA55,2020,7,-5.802851005479707,-40.619957038357946,0,7,0,0.0
UP55_NIKKEIOFF_TESTA55,2022,5,-1.7736245597604907,-8.868122798802453,0,5,0,0.0
UP55_NIKKEIOFF_TESTA55,2024,21,0.28044332530844185,5.889309831477279,5,13,3,27.77777777777778
UP55_NIKKEIOFF_TESTA55,2025,17,-3.574240322203402,-60.76208547745783,1,16,0,5.88235294117647
UP55_NIKKEIOFF_TESTA55,2026,39,3.8043808291120924,148.3708523353716,24,8,7,75.0
UP55_NIKKEIOFF_TESTA65,2020,3,-5.618302844127025,-16.854908532381074,0,3,0,0.0
UP55_NIKKEIOFF_TESTA65,2022,1,-1.5490847840886053,-1.5490847840886053,0,1,0,0.0
UP55_NIKKEIOFF_TESTA65,2024,7,0.821142373259243,5.747996612814701,2,4,1,33.33333333333333
UP55_NIKKEIOFF_TESTA65,2026,39,3.8043808291120924,148.3708523353716,24,8,7,75.0
UP55_NIKKEIOFF_TESTA75,2020,1,-4.464170934698383,-4.464170934698383,0,1,0,0.0
UP55_NIKKEIOFF_TESTA75,2022,1,-1.5490847840886053,-1.5490847840886053,0,1,0,0.0
UP55_NIKKEIOFF_TESTA75,2024,2,1.5527117552204073,3.1054235104408145,0,1,1,0.0
UP55_NIKKEIOFF_TESTA75,2026,39,3.8043808291120924,148.3708523353716,24,8,7,75.0
UP55_NIKKEION_BASE,2019,10,1.654883968910804,16.54883968910804,1,2,7,33.33333333333333
UP55_NIKKEION_BASE,2022,29,-1.4159021523982636,-41.061162419549646,0,23,6,0.0
UP55_NIKKEION_BASE,2024,70,3.2822759295706674,229.75931506994672,18,26,26,40.909090909090914
UP55_NIKKEION_BASE,2026,39,3.8043808291120924,148.3708523353716,24,8,7,75.0
UP55_NIKKEION_TESTA55,2019,2,-1.130495406337966,-2.260990812675932,0,1,1,0.0
UP55_NIKKEION_TESTA55,2022,5,-1.7736245597604907,-8.868122798802453,0,5,0,0.0
UP55_NIKKEION_TESTA55,2024,21,0.28044332530844185,5.889309831477279,5,13,3,27.77777777777778
