date,ticker,company,score,testa_score,up_prob,flat_prob,down_prob,price,take_profit,stop_loss,nikkei_uptrend,rsi,vol,result,return,hold_days,exit_price
2022-01-27,8058.T,三菱商事,43.927700939655914,85.0,29.775289200403083,25.438061724520967,44.78664907507594,1097.534423828125,1159.0,1067.0,False,52.65438277281894,1.3458400697357344,HOLD,0.7118338979348464,5,1105.3470458984375
2022-01-27,8316.T,,43.37790423422404,85.0,27.33174828737253,25.897276445211716,46.77097526741573,1148.431884765625,1214.0,1116.0,False,52.86800381075035,1.2447337899020272,HOLD,1.261517647726594,5,1162.9195556640625
2022-01-27,7186.T,,42.77813520636872,85.0,24.666108163571103,30.045367887165764,45.28852394926312,402.77972412109375,437.0,385.0,False,60.60702053723899,0.9692797055036878,HOLD,2.553172434663107,5,413.0633850097656
2022-01-27,6367.T,,42.77394722932499,30.0,24.889040825985447,23.428670401679852,51.682288772334694,21659.853515625,23569.0,20705.0,False,30.113471059188186,1.754566421034868,TIMEOUT_LOSS,-1.6251354279523293,5,21307.8515625
2022-01-27,6857.T,,42.49320342547877,30.0,23.641290586668916,25.809308354524475,50.549401058806644,2120.212158203125,2404.0,1978.0,False,27.10909082293348,2.4448481561822124,WIN,13.3848794659014,3,2404.0
2022-01-27,6762.T,,42.283698433751496,30.0,22.710157290103258,23.52229451865286,53.7675481912439,691.3034057617188,773.0,651.0,False,24.36441936946939,1.6939653685201523,WIN,11.817762440829165,2,773.0
2022-01-27,8306.T,三菱UFJ,42.18130246613577,85.0,22.013518206980212,27.709997531054775,50.276484261965024,581.8201904296875,623.0,561.0,False,55.36363394684568,1.1008098079422408,HOLD,5.469202233779825,5,613.64111328125
2022-01-27,8035.T,,42.095251418543036,30.0,21.872615000287883,29.772162855723067,48.35522214398904,16015.8671875,18054.0,14997.0,False,28.067560917311894,1.7917163948194315,HOLD,2.8315791322180006,5,16469.369140625
2022-01-27,6920.T,,41.902010960069546,30.0,21.013768518183486,34.07116736029117,44.91506412152534,23291.4375,27654.0,21110.0,False,27.598285476952015,1.6553797151876641,LOSS,-9.365834547567104,5,21110.0
2022-01-27,6758.T,,41.76462765090343,30.0,20.40317603300074,26.983403305002707,52.61342066199659,2285.62939453125,2588.0,2134.0,False,30.32042810447389,1.6976893619000533,WIN,13.229205320522311,4,2588.0
2022-01-27,8411.T,,40.74998321719653,75.0,26.76321043391694,23.793444804481815,49.443344761601224,1295.7193603515625,1367.0,1260.0,False,52.573146059247186,1.1710079207207496,HOLD,1.2613272764802748,5,1312.0626220703125
2022-01-27,8308.T,,40.70522095688853,75.0,26.56426705477028,27.350267924718413,46.08546502051129,426.46221923828125,456.0,412.0,False,53.263814907773266,0.9292708997810458,WIN,6.926236235996987,5,456.0
2022-01-27,9509.T,北海道電力,39.10561622415673,30.0,28.87520254214588,21.646481125686627,49.47831633216751,451.47503662109375,477.0,439.0,False,40.090054438299994,1.686312945352441,HOLD,1.0060339595945202,5,456.01702880859375
2022-01-27,8031.T,三井物産,38.63783597952714,65.0,28.487000488719634,22.232964289123643,49.28003522215671,1206.1614990234375,1281.0,1169.0,False,49.96742243105998,1.2606876622500258,HOLD,3.5444634204966663,5,1248.9134521484375
2022-01-27,7267.T,,38.50837067925785,65.0,27.91159915418945,23.033991318342384,49.05440952746815,917.2200317382812,977.0,887.0,False,44.527118279665274,1.3514637856632827,HOLD,4.261101790935466,5,956.3037109375
2022-01-27,9432.T,,38.408814555751306,65.0,27.46912749416036,24.687696386451336,47.84317611938828,110.50359344482422,116.0,108.0,False,44.64635510453766,1.2028328793252172,WIN,4.973961826789102,5,116.0
