fold,phase,up,score,nikkei,candidate_count
4,VALIDATION,50,50,False,89
4,VALIDATION,50,50,True,17
4,VALIDATION,50,60,False,11
4,VALIDATION,50,60,True,2
4,VALIDATION,50,70,False,0
4,VALIDATION,50,70,True,0
4,VALIDATION,50,80,False,0
4,VALIDATION,50,80,True,0
4,VALIDATION,55,50,False,67
4,VALIDATION,55,50,True,10
4,VALIDATION,55,60,False,4
4,VALIDATION,55,60,True,2
4,VALIDATION,55,70,False,0
4,VALIDATION,55,70,True,0
4,VALIDATION,55,80,False,0
4,VALIDATION,55,80,True,0
4,VALIDATION,60,50,False,48
4,VALIDATION,60,50,True,1
4,VALIDATION,60,60,False,1
4,VALIDATION,60,60,True,0
4,VALIDATION,60,70,False,0
4,VALIDATION,60,70,True,0
4,VALIDATION,60,80,False,0
4,VALIDATION,60,80,True,0
4,VALIDATION,65,50,False,43
4,VALIDATION,65,50,True,0
4,VALIDATION,65,60,False,0
4,VALIDATION,65,60,True,0
4,VALIDATION,65,70,False,0
4,VALIDATION,65,70,True,0
4,VALIDATION,65,80,False,0
4,VALIDATION,65,80,True,0
4,OOS,45,50,False,8
4,OOS,45,50,True,8
4,OOS,45,60,False,4
4,OOS,45,60,True,4
4,OOS,45,70,False,1
4,OOS,45,70,True,1
4,OOS,45,80,False,0
4,OOS,45,80,True,0
4,OOS,50,50,False,0
4,OOS,50,50,True,0
4,OOS,50,60,False,0
4,OOS,50,60,True,0
4,OOS,50,70,False,0
4,OOS,50,70,True,0
4,OOS,50,80,False,0
4,OOS,50,80,True,0
4,OOS,55,50,False,0
4,OOS,55,50,True,0
4,OOS,55,60,False,0
4,OOS,55,60,True,0
4,OOS,55,70,False,0
4,OOS,55,70,True,0
4,OOS,55,80,False,0
4,OOS,55,80,True,0
4,OOS,60,50,False,0
4,OOS,60,50,True,0
4,OOS,60,60,False,0
4,OOS,60,60,True,0
4,OOS,60,70,False,0
4,OOS,60,70,True,0
4,OOS,60,80,False,0
4,OOS,60,80,True,0
4,OOS,65,50,False,0
4,OOS,65,50,True,0
4,OOS,65,60,False,0
4,OOS,65,60,True,0
4,OOS,65,70,False,0
4,OOS,65,70,True,0
4,OOS,65,80,False,0
4,OOS,65,80,True,0
