strategy,month,signals,avg_return,total_return,wins,losses,holds,win_rate
UP55_NIKKEIOFF_TESTA55,2025-04,8,-1.109883731038677,-8.879069848309417,1,6,1,14.285714285714285
UP55_NIKKEIOFF_TESTA65,2023-06,3,4.270512371317623,12.81153711395287,1,0,2,100.0
UP55_NIKKEIOFF_TESTA65,2024-04,1,6.018098993503289,6.018098993503289,0,0,1,0.0
UP55_NIKKEIOFF_TESTA65,2024-07,3,3.8719000703264874,11.615700210979462,2,1,0,66.66666666666666
UP55_NIKKEIOFF_TESTA65,2025-04,3,-4.285731503321061,-12.857194509963183,0,3,0,0.0
UP55_NIKKEIOFF_TESTA75,2023-06,3,4.270512371317623,12.81153711395287,1,0,2,100.0
UP55_NIKKEIOFF_TESTA75,2025-04,2,-4.489060822558406,-8.978121645116811,0,2,0,0.0
UP55_NIKKEION_BASE,2022-12,7,-1.3250500755329888,-9.275350528730922,0,5,2,0.0
UP55_NIKKEION_BASE,2023-06,3,4.270512371317623,12.81153711395287,1,0,2,100.0
UP55_NIKKEION_BASE,2024-04,3,2.945693929477896,8.837081788433688,0,1,2,0.0
UP55_NIKKEION_BASE,2024-07,3,-0.3436254602644766,-1.0308763807934298,1,2,0,33.33333333333333
UP55_NIKKEION_BASE,2024-08,3,-4.122653043240688,-12.367959129722063,0,3,0,0.0
UP55_NIKKEION_TESTA55,2022-12,1,-2.5292716924331766,-2.5292716924331766,0,1,0,0.0
UP55_NIKKEION_TESTA55,2023-06,3,4.270512371317623,12.81153711395287,1,0,2,100.0
UP55_NIKKEION_TESTA55,2024-04,3,3.581620865010288,10.744862595030863,0,0,3,0.0
UP55_NIKKEION_TESTA55,2024-07,3,3.8719000703264874,11.615700210979462,2,1,0,66.66666666666666
UP55_NIKKEION_TESTA55,2024-08,2,-3.7483505879829724,-7.496701175965945,0,2,0,0.0
UP55_NIKKEION_TESTA65,2023-06,3,4.270512371317623,12.81153711395287,1,0,2,100.0
UP55_NIKKEION_TESTA65,2024-04,1,6.018098993503289,6.018098993503289,0,0,1,0.0
UP55_NIKKEION_TESTA65,2024-07,3,3.8719000703264874,11.615700210979462,2,1,0,66.66666666666666
UP55_NIKKEION_TESTA75,2023-06,3,4.270512371317623,12.81153711395287,1,0,2,100.0
UP60_NIKKEIOFF_BASE,2024-04,3,1.766033775299604,5.298101325898812,0,0,3,0.0
UP60_NIKKEIOFF_BASE,2024-07,3,-1.8980099560870956,-5.694029868261286,0,2,1,0.0
UP60_NIKKEIOFF_BASE,2025-04,9,-0.46494499555656865,-4.184504960009118,2,6,1,25.0
UP60_NIKKEIOFF_TESTA55,2024-04,1,1.087773222123914,1.087773222123914,0,0,1,0.0
UP60_NIKKEIOFF_TESTA55,2025-04,3,0.9336820571455592,2.8010461714366777,1,2,0,33.33333333333333
UP60_NIKKEION_BASE,2024-04,3,1.766033775299604,5.298101325898812,0,0,3,0.0
UP60_NIKKEION_BASE,2024-07,3,-1.8980099560870956,-5.694029868261286,0,2,1,0.0
UP60_NIKKEION_TESTA55,2024-04,1,1.087773222123914,1.087773222123914,0,0,1,0.0
UP65_NIKKEIOFF_BASE,2025-04,6,1.3581438916184514,8.148863349710709,2,3,1,40.0
UP65_NIKKEIOFF_TESTA55,2025-04,3,0.9336820571455592,2.8010461714366777,1,2,0,33.33333333333333
