date,rows,valid_prob,up20,up25,up30,up35,up40,up42_5,up45,up50,up55,up60,mean_up,median_up,max_up
2025-11-26,91,91,89,18,0,0,0,0,0,0,0,0,23.572534433911493,23.333185576633728,29.30702591316251
2025-11-28,91,91,91,17,0,0,0,0,0,0,0,0,23.20098123262416,22.91969507453275,28.11415092905439
2025-12-01,91,91,91,41,0,0,0,0,0,0,0,0,24.82867064194518,24.686348508019368,29.905644342144456
2025-12-02,91,91,91,31,1,0,0,0,0,0,0,0,24.455851561577674,24.200789170410328,31.228014882541704
2025-12-03,91,91,91,46,0,0,0,0,0,0,0,0,24.882037219612698,25.011907473611533,29.461747468892035
2025-12-04,91,91,91,41,0,0,0,0,0,0,0,0,24.807425689665067,24.838032295085277,29.04556370809448
2025-12-05,91,91,91,29,0,0,0,0,0,0,0,0,24.485936263439207,24.367504082102812,28.59096714380412
2025-12-08,91,91,91,41,2,0,0,0,0,0,0,0,24.73063279774819,24.87097079509573,31.10517280508799
2025-12-09,91,91,91,34,1,0,0,0,0,0,0,0,24.829840447105003,24.47146944781761,30.288024672390712
2025-12-10,91,91,91,63,1,0,0,0,0,0,0,0,26.227877386399506,25.880833962006133,31.36007788999132
2025-12-11,91,91,91,56,3,0,0,0,0,0,0,0,25.62982777159899,25.53344090680084,30.603535605227385
2025-12-12,91,91,91,70,2,0,0,0,0,0,0,0,26.583974357708474,26.269209096743868,33.39140645779255
2025-12-15,91,91,91,44,1,0,0,0,0,0,0,0,24.862068235870996,24.947092947376344,30.367084072310057
2025-12-16,91,91,91,45,0,0,0,0,0,0,0,0,24.90682148319007,24.980668432889782,29.74882654108047
2025-12-17,91,91,89,34,0,0,0,0,0,0,0,0,24.00510262154073,24.082470512575902,28.9158094724457
2025-12-18,91,91,91,91,47,0,0,0,0,0,0,0,30.252192970467014,30.512540077007557,32.642827255915385
2025-12-19,91,91,91,91,84,0,0,0,0,0,0,0,31.28965166198256,31.473521427255687,32.382247735126555
2025-12-22,91,91,91,91,86,0,0,0,0,0,0,0,31.7698427295667,31.6987496842817,33.59020992836923
2025-12-23,91,91,91,91,87,8,0,0,0,0,0,0,32.85619500019022,32.81349719529252,36.193554781736594
2025-12-24,91,91,91,91,90,5,0,0,0,0,0,0,32.71736129331948,32.75781266849517,36.66621802968224
2025-12-26,91,91,91,91,89,0,0,0,0,0,0,0,32.54538498703608,32.636864435934044,34.43228999973965
2025-12-29,91,91,91,91,89,31,0,0,0,0,0,0,34.201741154633275,34.50081619761614,36.85710357606239
2025-12-30,92,92,92,92,92,0,0,0,0,0,0,0,32.81437129803776,32.94916222159033,34.35094146884119
2026-01-05,92,92,92,92,78,0,0,0,0,0,0,0,30.949210352379584,30.99715348996982,33.194255118849284
2026-01-06,92,92,92,92,92,39,0,0,0,0,0,0,34.83324225699228,34.8291125335531,36.675625892285176
2026-01-07,92,92,92,92,92,56,0,0,0,0,0,0,35.19176684064628,35.143186465386975,36.862615056411016
2026-01-08,92,92,92,92,92,89,0,0,0,0,0,0,37.453500901836506,37.308194041620716,39.914681903522535
2026-01-09,91,91,91,91,91,86,0,0,0,0,0,0,36.602946405207454,36.73267334678281,38.57302574889842
2026-01-13,91,91,91,91,91,83,0,0,0,0,0,0,36.45218123912098,36.48314768682698,39.3651376457091
2026-01-14,91,91,91,91,55,0,0,0,0,0,0,0,30.2111961285933,30.292066244838036,32.73953851456581
2026-01-15,91,91,91,91,90,1,0,0,0,0,0,0,32.58843435756116,32.50569934403325,35.033592972723056
2026-01-16,91,91,91,91,91,2,0,0,0,0,0,0,33.07178630294223,32.93345502677518,35.14899302582919
2026-01-20,91,91,91,91,91,12,0,0,0,0,0,0,33.91826822515126,34.030548160173154,37.503844901461264
2026-01-21,91,91,91,91,91,75,0,0,0,0,0,0,36.15242149492167,36.420192349858894,39.23690043366254
2026-01-22,91,91,91,91,91,76,0,0,0,0,0,0,36.03688351818726,36.31272306935222,38.40054884636098
2026-01-23,91,91,91,91,91,5,0,0,0,0,0,0,33.91589169284088,34.00934407187186,36.12678857144566
2026-01-26,91,91,91,91,91,85,0,0,0,0,0,0,37.54229581694006,37.87222347515489,39.52738572948055
2026-01-27,91,91,91,91,91,87,0,0,0,0,0,0,36.962048491232146,37.14781242104503,38.92592834875574
2026-01-28,91,91,91,91,91,90,29,0,0,0,0,0,39.11721745918793,39.328576522920585,42.22911487953011
2026-01-29,91,91,91,91,91,89,9,0,0,0,0,0,38.364444530083084,38.44477344497509,40.97845712385877
2026-01-30,92,92,92,92,92,91,17,0,0,0,0,0,38.765684925211325,38.8256194832407,41.40011707966698
2026-02-02,93,93,93,93,93,87,18,0,0,0,0,0,38.46047095605407,38.41271868786295,41.55896797153442
2026-02-03,93,93,93,93,93,88,0,0,0,0,0,0,37.15901070606618,37.415132321467205,39.74191750703688
2026-02-04,93,93,93,93,93,84,0,0,0,0,0,0,36.73752057289393,36.83923722433777,39.73989044206578
2026-02-05,93,93,93,93,93,86,0,0,0,0,0,0,36.78837850497494,36.83108476435302,39.43118397858685
2026-02-06,93,93,93,93,93,88,6,0,0,0,0,0,37.482684031594204,37.33584664528276,41.80785428434552
2026-02-09,93,93,93,53,0,0,0,0,0,0,0,0,25.802628994598244,26.04485908438371,29.96109672833487
2026-02-10,93,93,93,93,55,0,0,0,0,0,0,0,30.36226268907175,30.34163373113979,34.74344727147261
2026-02-12,93,93,93,93,65,0,0,0,0,0,0,0,30.626417856765496,30.61927177470431,33.424076972844105
2026-02-13,93,93,93,93,85,0,0,0,0,0,0,0,32.05481493280508,32.15350389635454,34.96134787472259
2026-02-17,93,93,93,93,89,16,0,0,0,0,0,0,33.58767019185584,33.94261576217398,37.41784748167905
2026-02-18,93,93,93,93,88,19,0,0,0,0,0,0,33.57473108007104,33.49415667459159,37.21641761177652
2026-02-19,93,93,93,93,89,21,0,0,0,0,0,0,33.671211471555715,33.819182886605375,36.8548805695867
2026-02-20,93,93,93,93,86,10,0,0,0,0,0,0,33.02232778935615,33.199552884783,36.90060369610185
2026-02-24,93,93,93,93,93,43,0,0,0,0,0,0,34.77270148745272,34.904670011945136,38.50379432173507
2026-02-25,93,93,93,93,73,32,1,0,0,0,0,0,32.94020362324207,33.02941510971228,40.12903920779525
2026-02-26,93,93,93,93,67,15,0,0,0,0,0,0,31.98071312369727,32.517645355731275,38.869434370478565
2026-02-27,93,93,93,93,91,39,2,0,0,0,0,0,34.20965613191945,34.22691917260654,41.49720384807824
2026-03-02,93,93,93,93,91,52,13,2,0,0,0,0,35.534851946524086,35.37841922156322,44.86426790340492
2026-03-03,93,93,93,93,93,89,59,34,9,0,0,0,40.96435133134727,41.26644866084733,47.74478942441368
2026-03-04,93,93,93,93,59,5,0,0,0,0,0,0,30.59006163185157,30.501809083936987,35.780936061654124
2026-03-05,93,93,93,92,81,52,14,6,0,0,0,0,35.50645046647085,35.839605959946205,44.932278330169126
2026-03-06,93,93,93,87,44,11,2,1,0,0,0,0,30.307759885206895,29.82579639196212,42.803764558522985
2026-03-09,93,93,93,93,58,1,0,0,0,0,0,0,30.677272752931163,30.648798492662937,36.57877663609288
2026-03-10,93,93,93,93,80,18,0,0,0,0,0,0,32.91129325883854,32.771292621927486,38.4623184575121
2026-03-11,93,93,93,93,88,40,7,0,0,0,0,0,34.86737280856109,34.44943747293008,41.63932624833489
2026-03-12,93,93,93,93,84,21,0,0,0,0,0,0,33.050606283427605,32.71179489496427,39.57113584879952
2026-03-13,93,93,93,93,65,11,0,0,0,0,0,0,31.54711712652375,31.50748888366655,37.97421133185134
2026-03-16,93,93,93,93,71,10,0,0,0,0,0,0,31.614299050842344,31.06199927984006,38.949960063228886
2026-03-17,93,93,93,93,58,9,0,0,0,0,0,0,31.050065865018908,30.796676675550444,38.84120846204377
2026-03-18,93,93,93,93,79,26,0,0,0,0,0,0,33.2320659484686,33.12948770252394,38.86054307062196
2026-03-19,93,93,93,93,72,13,0,0,0,0,0,0,32.381401184403984,32.1910067134723,38.66951853280435
2026-03-23,93,93,93,69,3,0,0,0,0,0,0,0,26.168290809543276,25.767047329292847,30.568185562165905
